Temps de jeu (en sec.);Buts espérés;Lancers
37834.0;8.67;72.0
4400.0;0.37;5.0
40186.0;6.52;65.0
10154.0;1.46;16.0
61224.0;10.21;114.0
61331.0;15.94;159.0
66388.0;13.51;129.0
67434.0;9.87;101.0
61555.0;11.81;144.0
2455.0;0.25;3.0
65071.0;16.1;146.0
46820.0;4.98;55.0
60118.0;11.35;137.0
52244.0;13.47;165.0
48861.0;8.26;71.0
448.0;0.0;0.0
58982.0;8.75;117.0
37511.0;10.22;77.0
702.0;0.04;0.0
61393.0;9.08;93.0
10851.0;0.71;15.0
59577.0;15.67;181.0
18860.0;3.74;36.0
64037.0;11.24;112.0
22871.0;2.76;29.0
56394.0;13.38;108.0
15556.0;3.1;23.0
49518.0;6.35;54.0
425.0;0.09;0.0
13774.0;2.12;20.0
619.0;0.19;2.0
2395.0;0.57;4.0
867.0;0.2;1.0
59021.0;11.07;133.0
59345.0;9.62;124.0
19705.0;2.59;26.0
24657.0;3.67;43.0
21130.0;2.49;22.0
25105.0;4.05;37.0
14734.0;1.88;16.0
50634.0;11.52;107.0
10230.0;1.65;17.0
235.0;0.0;0.0
41600.0;5.58;56.0
7327.0;1.49;24.0
55063.0;11.28;141.0
63863.0;7.49;62.0
65926.0;14.45;125.0
69774.0;18.0;176.0
57809.0;11.21;104.0
560.0;0.19;1.0
50905.0;10.52;96.0
28628.0;4.75;41.0
61004.0;13.15;116.0
20557.0;4.74;43.0
3097.0;0.88;5.0
18911.0;2.9;32.0
10837.0;1.13;13.0
6451.0;1.13;11.0
7166.0;1.17;15.0
43958.0;9.95;90.0
11963.0;2.03;12.0
51333.0;9.4;98.0
45616.0;8.72;66.0
29759.0;3.2;31.0
68145.0;16.51;189.0
36265.0;5.52;62.0
35438.0;4.88;48.0
12974.0;1.49;16.0
55492.0;9.05;93.0
38245.0;6.42;44.0
55017.0;13.07;116.0
53830.0;16.66;150.0
67103.0;13.45;132.0
3604.0;1.37;9.0
55529.0;8.02;99.0
3180.0;0.57;7.0
27550.0;4.01;20.0
32746.0;4.82;43.0
56917.0;13.99;107.0
23250.0;6.08;53.0
72208.0;11.48;115.0
61188.0;14.87;143.0
74800.0;33.53;212.0
17042.0;3.3;29.0
3673.0;0.66;5.0
31406.0;5.04;48.0
36158.0;4.56;49.0
72588.0;12.71;159.0
63594.0;14.87;140.0
66517.0;12.01;98.0
64723.0;13.22;124.0
67042.0;22.2;185.0
64372.0;18.54;146.0
2729.0;0.05;1.0
2442.0;0.06;1.0
54790.0;11.74;104.0
13933.0;2.53;22.0
37489.0;7.67;57.0
52582.0;12.16;106.0
72944.0;15.41;156.0
3205.0;0.65;7.0
72329.0;22.7;246.0
924.0;0.16;3.0
